nearest_gmb,segment,Year,total_leads,google_leads,google_share,yoy_total,yoy_google
"Trenton, NJ",adjacent,2023,173,27,0.156,-0.335,-0.27
"Trenton, NJ",adjacent,2024,173,28,0.162,0.0,0.037
"Trenton, NJ",adjacent,2025,176,37,0.21,0.017,0.321
"Trenton, NJ",core,2009,3,0,0.0,,
"Trenton, NJ",core,2010,2,0,0.0,-0.333,
"Trenton, NJ",core,2011,3,1,0.333,0.5,inf
"Trenton, NJ",core,2012,11,1,0.091,2.667,0.0
"Trenton, NJ",core,2013,19,4,0.211,0.727,3.0
"Trenton, NJ",core,2014,9,3,0.333,-0.526,-0.25
"Trenton, NJ",core,2015,9,2,0.222,0.0,-0.333
"Trenton, NJ",core,2016,14,2,0.143,0.556,0.0
"Trenton, NJ",core,2017,25,9,0.36,0.786,3.5
"Trenton, NJ",core,2018,26,6,0.231,0.04,-0.333
"Trenton, NJ",core,2019,29,13,0.448,0.115,1.167
"Trenton, NJ",core,2020,34,5,0.147,0.172,-0.615
"Trenton, NJ",core,2021,92,25,0.272,1.706,4.0
"Trenton, NJ",core,2022,130,27,0.208,0.413,0.08
"Trenton, NJ",core,2023,84,18,0.214,-0.354,-0.333
"Trenton, NJ",core,2024,96,15,0.156,0.143,-0.167
"Trenton, NJ",core,2025,74,17,0.23,-0.229,0.133
"West Chester, PA",adjacent,2003,14,0,0.0,,
"West Chester, PA",adjacent,2004,175,2,0.011,11.5,inf
"West Chester, PA",adjacent,2005,230,3,0.013,0.314,0.5
"West Chester, PA",adjacent,2006,311,5,0.016,0.352,0.667
"West Chester, PA",adjacent,2007,431,9,0.021,0.386,0.8
"West Chester, PA",adjacent,2008,357,11,0.031,-0.172,0.222
"West Chester, PA",adjacent,2009,148,6,0.041,-0.585,-0.455
"West Chester, PA",adjacent,2010,149,10,0.067,0.007,0.667
"West Chester, PA",adjacent,2011,207,13,0.063,0.389,0.3
"West Chester, PA",adjacent,2012,220,23,0.105,0.063,0.769
"West Chester, PA",adjacent,2013,221,33,0.149,0.005,0.435
"West Chester, PA",adjacent,2014,188,29,0.154,-0.149,-0.121
"West Chester, PA",adjacent,2015,187,39,0.209,-0.005,0.345
"West Chester, PA",adjacent,2016,197,40,0.203,0.053,0.026
"West Chester, PA",adjacent,2017,217,50,0.23,0.102,0.25
"West Chester, PA",adjacent,2018,209,40,0.191,-0.037,-0.2
"West Chester, PA",adjacent,2019,285,65,0.228,0.364,0.625
"West Chester, PA",adjacent,2020,389,59,0.152,0.365,-0.092
"West Chester, PA",adjacent,2021,559,59,0.106,0.437,0.0
"West Chester, PA",adjacent,2022,475,61,0.128,-0.15,0.034
"West Chester, PA",adjacent,2023,498,45,0.09,0.048,-0.262
"West Chester, PA",adjacent,2024,419,23,0.055,-0.159,-0.489
"West Chester, PA",adjacent,2025,415,36,0.087,-0.01,0.565
"West Chester, PA",core,2003,58,2,0.034,,
"West Chester, PA",core,2004,383,6,0.016,5.603,2.0
"West Chester, PA",core,2005,316,6,0.019,-0.175,0.0
"West Chester, PA",core,2006,423,8,0.019,0.339,0.333
"West Chester, PA",core,2007,383,12,0.031,-0.095,0.5
"West Chester, PA",core,2008,301,8,0.027,-0.214,-0.333
"West Chester, PA",core,2009,135,7,0.052,-0.551,-0.125
"West Chester, PA",core,2010,176,17,0.097,0.304,1.429
"West Chester, PA",core,2011,199,17,0.085,0.131,0.0
"West Chester, PA",core,2012,196,28,0.143,-0.015,0.647
"West Chester, PA",core,2013,227,44,0.194,0.158,0.571
"West Chester, PA",core,2014,184,31,0.168,-0.189,-0.295
"West Chester, PA",core,2015,164,44,0.268,-0.109,0.419
"West Chester, PA",core,2016,157,48,0.306,-0.043,0.091
"West Chester, PA",core,2017,184,51,0.277,0.172,0.062
"West Chester, PA",core,2018,172,36,0.209,-0.065,-0.294
"West Chester, PA",core,2019,262,60,0.229,0.523,0.667
"West Chester, PA",core,2020,360,63,0.175,0.374,0.05
"West Chester, PA",core,2021,380,41,0.108,0.056,-0.349
"West Chester, PA",core,2022,405,49,0.121,0.066,0.195
"West Chester, PA",core,2023,415,50,0.12,0.025,0.02
"West Chester, PA",core,2024,338,18,0.053,-0.186,-0.64
"West Chester, PA",core,2025,403,45,0.112,0.192,1.5
"Wilmington, DE",adjacent,2003,6,0,0.0,,
"Wilmington, DE",adjacent,2004,25,0,0.0,3.167,
"Wilmington, DE",adjacent,2005,38,0,0.0,0.52,
"Wilmington, DE",adjacent,2006,45,1,0.022,0.184,inf
"Wilmington, DE",adjacent,2007,167,4,0.024,2.711,3.0
"Wilmington, DE",adjacent,2008,128,2,0.016,-0.234,-0.5
"Wilmington, DE",adjacent,2009,64,1,0.016,-0.5,-0.5
"Wilmington, DE",adjacent,2010,133,5,0.038,1.078,4.0
"Wilmington, DE",adjacent,2011,159,8,0.05,0.195,0.6
"Wilmington, DE",adjacent,2012,147,11,0.075,-0.075,0.375
"Wilmington, DE",adjacent,2013,134,35,0.261,-0.088,2.182
"Wilmington, DE",adjacent,2014,137,15,0.109,0.022,-0.571
"Wilmington, DE",adjacent,2015,102,18,0.176,-0.255,0.2
"Wilmington, DE",adjacent,2016,179,30,0.168,0.755,0.667
"Wilmington, DE",adjacent,2017,149,44,0.295,-0.168,0.467
"Wilmington, DE",adjacent,2018,138,34,0.246,-0.074,-0.227
"Wilmington, DE",adjacent,2019,220,52,0.236,0.594,0.529
"Wilmington, DE",adjacent,2020,321,56,0.174,0.459,0.077
"Wilmington, DE",adjacent,2021,386,88,0.228,0.202,0.571
"Wilmington, DE",adjacent,2022,506,79,0.156,0.311,-0.102
"Wilmington, DE",adjacent,2023,367,57,0.155,-0.275,-0.278
"Wilmington, DE",adjacent,2024,300,31,0.103,-0.183,-0.456
"Wilmington, DE",adjacent,2025,321,55,0.171,0.07,0.774
"Wilmington, DE",core,2004,24,0,0.0,,
"Wilmington, DE",core,2005,39,0,0.0,0.625,
"Wilmington, DE",core,2006,29,2,0.069,-0.256,inf
"Wilmington, DE",core,2007,210,1,0.005,6.241,-0.5
"Wilmington, DE",core,2008,73,2,0.027,-0.652,1.0
"Wilmington, DE",core,2009,49,1,0.02,-0.329,-0.5
"Wilmington, DE",core,2010,57,7,0.123,0.163,6.0
"Wilmington, DE",core,2011,80,6,0.075,0.404,-0.143
"Wilmington, DE",core,2012,70,5,0.071,-0.125,-0.167
"Wilmington, DE",core,2013,70,19,0.271,0.0,2.8
"Wilmington, DE",core,2014,66,7,0.106,-0.057,-0.632
"Wilmington, DE",core,2015,63,12,0.19,-0.045,0.714
"Wilmington, DE",core,2016,75,19,0.253,0.19,0.583
"Wilmington, DE",core,2017,79,21,0.266,0.053,0.105
"Wilmington, DE",core,2018,65,11,0.169,-0.177,-0.476
"Wilmington, DE",core,2019,127,30,0.236,0.954,1.727
"Wilmington, DE",core,2020,177,20,0.113,0.394,-0.333
"Wilmington, DE",core,2021,207,30,0.145,0.169,0.5
"Wilmington, DE",core,2022,280,41,0.146,0.353,0.367
"Wilmington, DE",core,2023,224,43,0.192,-0.2,0.049
"Wilmington, DE",core,2024,230,21,0.091,0.027,-0.512
"Wilmington, DE",core,2025,250,42,0.168,0.087,1.0
